name,address,category,website,social_media,website_status,data_status
Museum and Gift Shop, ,gift,Has Website,,https://bettyfordalpinegardens.org/education/,Complete
Beaver Dam, ,information,No Website,,,Incomplete
Children's Amphitheater, ,theatre,No Website,,,Incomplete
Soccer Field, ,unknown,No Website,,,Incomplete
The Passport Clubhouse, ,unknown,No Website,,,Incomplete
Market, ,convenience,No Website,,,Incomplete
Larkspur Restaurant, ,restaurant,No Website,,,Incomplete
Adaptive Ski School, ,school,No Website,,,Incomplete
Golden Peak Grill, ,fast_food,No Website,,,Incomplete
The Fitz Bar & Restaurant, ,bar,Has Website,,http://thefitzbar.com,Complete
Grill on the Gore, ,restaurant,Has Website,,http://vailclubhouse.com/grill-on-the-gore,Complete
Clubhouse, ,unknown,No Website,,,Incomplete
Vail Pro Shop, ,sports,No Website,,,Incomplete
1448 Vail Valley Drive, ,unknown,No Website,,,Incomplete
Ptarmigan West, ,unknown,No Website,,,Incomplete
Pulis Bridge, ,unknown,No Website,,,Incomplete
1610 Sunburst, ,unknown,No Website,,,Incomplete
Ptarmigan East, ,unknown,No Website,,,Incomplete
Gore Creek Drive, ,unknown,No Website,,,Incomplete
Hanson Ranch Road, ,unknown,No Website,,,Incomplete
Dryland Montane Gardens, ,garden,No Website,,,Incomplete
Bog Garden, ,garden,No Website,,,Incomplete
Corner Woodland Garden, ,garden,No Website,,,Incomplete
Perennial Borders, ,garden,No Website,,,Incomplete
Peony Collection, ,garden,No Website,,,Incomplete
Sempervivum Wall, ,garden,No Website,,,Incomplete
Pollinator Garden, ,garden,No Website,,,Incomplete
Silk Road Garden, ,garden,No Website,,,Incomplete
Aspen Grove, ,garden,No Website,,,Incomplete
Northeast Entrance Rock Garden, ,garden,No Website,,,Incomplete
Alps of Western Europe, ,garden,No Website,,,Incomplete
Mountain Perennial Waterfall Garden, ,garden,No Website,,,Incomplete
Saxifrage Garden, ,garden,No Website,,,Incomplete
Primula Garden, ,garden,No Website,,,Incomplete
Mountain Conifer Border, ,garden,No Website,,,Incomplete
Rocky Mountain Alpine Garden, ,garden,No Website,,,Incomplete
South African Garden, ,garden,No Website,,,Incomplete
Rooftop Garden, ,garden,No Website,,,Incomplete
Stumpery Garden, ,garden,No Website,,,Incomplete
Holy Cross Event Deck, ,theatre,No Website,,,Incomplete
Westside Cafe, ,restaurant,No Website,,,Incomplete
Thunder Cat Cave, ,attraction,No Website,,,Incomplete
Ski Patrol, ,first_aid,No Website,,,Incomplete
Forest Flyer, ,attraction,No Website,,,Incomplete
Holy Cross Adventure Course, ,attraction,No Website,,,Incomplete
Vail Trail, ,unknown,No Website,,,Incomplete
Soccer Field Turn Around, ,unknown,No Website,,,Incomplete
The Hythe, ,unknown,No Website,,,Incomplete
Apollo Park, ,apartment,No Website,,,Incomplete
Chamonix Lane, ,unknown,No Website,,,Incomplete
Bridge Street Ski Haus,Bridge Street 254,sports,No Website,,,Incomplete
Lionshead Transit Center, ,unknown,No Website,,,Incomplete
"Mark S. Rubinstein, P.C.",North Frontage Road West 2121,lawyer,Has Website,,https://rubinsteinlawoffices.com/avon-and-vail-criminal-defense-lawyer,Complete
Pivot 62, ,bar,No Website,,,Incomplete
Eagle Point Resort,Matterhorn Circle 1500,alpine_hut,Has Website,,http://www.eaglepointresort.net,Complete
Gore Creek below Booth Creek near Vail, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/393837106200501,Complete
Gore Creek above Middle Creek at Vail, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/393834106230201,Complete
Gore Creek above Spraddle Creek at Vail, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/393830106224701,Complete
Gore Creek above Mill Creek near Vail, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/393826106213501,Complete
Middle Creek near Minturn, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/09066300,Complete
Gore Creek above Red Sandstone Creek at Vail, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/09066325,Complete
Gore Creek Lower Station at Vail, ,unknown,Has Website,,https://waterdata.usgs.gov/monitoring-location/09066310,Complete
Revel, ,restaurant,No Website,,,Incomplete
Margie’s Haas, ,restaurant,No Website,,,Incomplete
Mountain Ration Grab And Go, ,convenience,No Website,,,Incomplete
Well & Being Spa, ,beauty,No Website,,,Incomplete
True North, ,sports,No Website,,,Incomplete
Look Ma, ,fast_food,No Website,,,Incomplete
